x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:50,1970-01-01 01:01:28,48.0,38.0,86.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:37,1970-01-01 01:00:53,25.0,16.0,41.0
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:00,6.0,22.0,28.0
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:01:21,1970-01-01 01:01:39,19.0,18.0,37.0
1.75,-2.75,1970-01-01 01:01:12,1970-01-01 01:01:21,,9.0,,
-0.25,-1.25,1970-01-01 01:01:23,1970-01-01 01:01:28,1970-01-01 01:02:03,5.0,35.0,40.0
2.25,2.75,1970-01-01 01:01:33,1970-01-01 01:01:34,1970-01-01 01:02:29,1.0,55.0,56.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:52,,9.0,,
-0.75,-2.75,1970-01-01 01:01:53,,,,,
-0.75,1.25,1970-01-01 01:02:03,1970-01-01 01:02:11,1970-01-01 01:03:00,8.0,49.0,57.0
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:30,1970-01-01 01:02:45,7.0,15.0,22.0
-2.25,2.25,1970-01-01 01:02:33,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:02:58,,5.0,,
1.25,2.75,1970-01-01 01:03:03,,,,,
