x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
1.25,-3.25,1970-01-01 01:00:02,,,,,
-2.75,-0.25,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:33,6.0,15.0,21.0
0.75,-3.25,1970-01-01 01:00:22,1970-01-01 01:00:33,1970-01-01 01:00:48,11.0,15.0,26.0
-3.25,3.25,1970-01-01 01:00:32,1970-01-01 01:00:36,1970-01-01 01:00:58,4.0,22.0,26.0
0.25,-0.75,1970-01-01 01:00:42,,,,,
0.25,-2.25,1970-01-01 01:00:52,1970-01-01 01:00:59,1970-01-01 01:01:33,7.0,34.0,41.0
3.75,1.75,1970-01-01 01:01:02,,,,,
-2.75,-2.25,1970-01-01 01:01:12,,,,,
0.75,-1.75,1970-01-01 01:01:22,1970-01-01 01:01:40,1970-01-01 01:02:18,18.0,38.0,56.0
3.25,-1.75,1970-01-01 01:01:33,,,,,
1.25,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:02:27,1970-01-01 01:02:56,34.0,29.0,63.0
-0.75,3.25,1970-01-01 01:02:03,1970-01-01 01:02:41,1970-01-01 01:02:58,38.0,17.0,55.0
-1.75,-4.25,1970-01-01 01:02:13,,,,,
2.75,-0.75,1970-01-01 01:02:23,,,,,
0.25,3.75,1970-01-01 01:02:33,1970-01-01 01:02:52,,19.0,,
1.25,-0.75,1970-01-01 01:02:43,,,,,
2.25,0.75,1970-01-01 01:02:53,,,,,
