x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:01:00,6.0,42.0,48.0
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:16,7.0,37.0,44.0
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:44,1970-01-01 01:00:53,1.0,9.0,10.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:54,1970-01-01 01:01:07,1.0,13.0,14.0
-0.25,-3.25,1970-01-01 01:02:34,1970-01-01 01:03:09,1970-01-01 01:03:26,35.0,17.0,52.0
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:14,1970-01-01 01:01:23,1.0,9.0,10.0
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:44,,,,,
0.25,-0.75,1970-01-01 01:01:54,,,,,
0.75,-3.75,1970-01-01 01:02:04,,,,,
2.25,0.75,1970-01-01 01:02:14,1970-01-01 01:02:30,1970-01-01 01:03:01,16.0,31.0,47.0
0.75,1.25,1970-01-01 01:02:24,1970-01-01 01:02:30,1970-01-01 01:02:53,6.0,23.0,29.0
-0.25,-3.25,1970-01-01 01:02:34,1970-01-01 01:03:09,1970-01-01 01:03:26,35.0,17.0,52.0
-1.25,4.25,1970-01-01 01:02:44,,,,,
-2.25,-2.25,1970-01-01 01:02:54,1970-01-01 01:03:16,1970-01-01 01:03:37,22.0,21.0,43.0
1.25,-0.25,1970-01-01 01:03:04,,,,,
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:50,1970-01-01 01:04:14,36.0,24.0,60.0
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:45,1970-01-01 01:03:49,1970-01-01 01:04:06,4.0,17.0,21.0
2.75,-3.75,1970-01-01 01:03:55,,,,,
-3.75,-2.25,1970-01-01 01:04:05,,,,,
3.75,-3.75,1970-01-01 01:04:15,,,,,
