x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:13,1970-01-01 01:00:56,0:00:11,0:00:43,0:00:54
2.25,2.25,1970-01-01 01:00:12,1970-01-01 01:00:13,1970-01-01 01:00:21,0:00:01,0:00:08,0:00:09
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:24,1970-01-01 01:00:33,0:00:02,0:00:09,0:00:11
-1.25,-3.25,1970-01-01 01:00:33,1970-01-01 01:00:39,1970-01-01 01:01:17,0:00:06,0:00:38,0:00:44
3.75,-0.25,1970-01-01 01:00:43,1970-01-01 01:00:49,1970-01-01 01:01:34,0:00:06,0:00:45,0:00:51
-4.25,-0.25,1970-01-01 01:00:53,,,,,
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:47,1970-01-01 01:02:08,0:00:34,0:00:21,0:00:55
0.25,2.75,1970-01-01 01:01:24,,,,,
-1.25,0.25,1970-01-01 01:01:34,1970-01-01 01:01:35,1970-01-01 01:01:50,0:00:01,0:00:15,0:00:16
-2.25,-2.25,1970-01-01 01:01:44,1970-01-01 01:01:50,1970-01-01 01:02:50,0:00:06,0:01:00,0:01:06
-2.25,-3.25,1970-01-01 01:02:04,,,,,
0.25,-2.25,1970-01-01 01:02:14,,,,,
-0.75,3.25,1970-01-01 01:02:25,,,,,
-0.75,-4.25,1970-01-01 01:03:35,,,,,
1.25,-3.25,1970-01-01 01:02:45,,,,,
1.25,-1.75,1970-01-01 01:04:26,,,,,
-3.75,3.25,1970-01-01 01:03:05,1970-01-01 01:04:26,,0:01:21,,
1.25,-1.75,1970-01-01 01:04:26,,,,,
-0.25,0.75,1970-01-01 01:03:45,,,,,
-0.75,-4.25,1970-01-01 01:03:35,,,,,
-0.25,0.75,1970-01-01 01:03:45,,,,,
2.75,0.75,1970-01-01 01:04:06,,,,,
-2.75,-2.25,1970-01-01 01:04:16,,,,,
1.25,-1.75,1970-01-01 01:04:26,,,,,
-1.25,-1.25,1970-01-01 01:04:46,1970-01-01 01:04:51,,0:00:05,,
