x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:19,1970-01-01 01:00:50,0:00:07,0:00:31,0:00:38
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:21,0:00:07,0:00:42,0:00:49
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:49,1970-01-01 01:01:30,0:00:07,0:00:41,0:00:48
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:53,1970-01-01 01:01:10,0:00:00,0:00:17,0:00:17
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:39,1970-01-01 01:03:24,0:00:06,0:00:45,0:00:51
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:41,0:00:06,0:00:22,0:00:28
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:59,1970-01-01 01:02:44,0:00:36,0:00:45,0:01:21
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:09,1970-01-01 01:02:24,0:00:06,0:00:15,0:00:21
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:46,1970-01-01 01:03:05,0:00:33,0:00:19,0:00:52
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:38,1970-01-01 01:02:56,0:00:15,0:00:18,0:00:33
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:39,1970-01-01 01:03:24,0:00:06,0:00:45,0:00:51
-1.25,4.25,1970-01-01 01:02:44,,,,,
-2.25,-2.25,1970-01-01 01:02:54,1970-01-01 01:03:27,1970-01-01 01:03:38,0:00:33,0:00:11,0:00:44
1.25,-0.25,1970-01-01 01:03:04,,,,,
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:54,,0:00:40,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:03:56,,0:00:12,,
2.75,-3.75,1970-01-01 01:03:54,,,,,
-3.75,-2.25,1970-01-01 01:04:04,,,,,
