x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:28,1970-01-01 01:00:38,0:00:26,0:00:10,0:00:36
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:20,1970-01-01 01:00:46,0:00:08,0:00:26,0:00:34
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:29,1970-01-01 01:01:35,0:00:07,0:01:06,0:01:13
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:03,0:00:07,0:00:24,0:00:31
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:55,0:00:06,0:00:36,0:00:42
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:58,1970-01-01 01:02:37,0:00:15,0:00:39,0:00:54
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:02:20,0:00:01,0:00:26,0:00:27
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:09,1970-01-01 01:02:28,0:00:06,0:00:19,0:00:25
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,1970-01-01 01:02:46,1970-01-01 01:03:14,0:00:12,0:00:28,0:00:40
-1.25,-2.25,1970-01-01 01:02:44,1970-01-01 01:02:49,1970-01-01 01:03:21,0:00:05,0:00:32,0:00:37
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:24,,,,,
-0.75,0.75,1970-01-01 01:03:34,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
-2.25,-0.75,1970-01-01 01:03:54,,,,,
-0.75,-1.25,1970-01-01 01:04:05,,,,,
2.75,-4.25,1970-01-01 01:04:15,,,,,
