x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:11,1970-01-01 01:00:34,9.0,23.0,32.0
2.25,2.25,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:50,6.0,32.0,38.0
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:31,1970-01-01 01:00:47,9.0,16.0,25.0
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:02:47,1970-01-01 01:03:13,135.0,26.0,161.0
3.75,-0.25,1970-01-01 01:00:43,1970-01-01 01:00:50,1970-01-01 01:01:27,7.0,37.0,44.0
-4.25,-0.25,1970-01-01 01:00:53,,,,,
3.25,-3.25,1970-01-01 01:03:55,,,,,
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:33,1970-01-01 01:01:47,20.0,14.0,34.0
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:34,1970-01-01 01:01:48,1970-01-01 01:01:58,14.0,10.0,24.0
-2.25,-2.25,1970-01-01 01:01:44,1970-01-01 01:02:16,1970-01-01 01:02:38,32.0,22.0,54.0
-2.25,-3.25,1970-01-01 01:02:04,,,,,
0.25,-2.25,1970-01-01 01:02:14,1970-01-01 01:02:40,1970-01-01 01:03:00,26.0,20.0,46.0
-0.75,3.25,1970-01-01 01:02:24,1970-01-01 01:03:42,1970-01-01 01:04:08,78.0,26.0,104.0
-0.75,-4.25,1970-01-01 01:03:35,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-3.75,3.25,1970-01-01 01:03:04,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-0.25,0.75,1970-01-01 01:03:45,,,,,
-0.75,-4.25,1970-01-01 01:03:35,,,,,
-0.25,0.75,1970-01-01 01:03:45,,,,,
3.25,-3.25,1970-01-01 01:03:55,,,,,
2.75,0.75,1970-01-01 01:04:05,,,,,
-2.75,-2.25,1970-01-01 01:04:15,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-1.25,-1.25,1970-01-01 01:04:45,,,,,
