x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.75,-3.75,1970-01-01 01:00:03,1970-01-01 01:00:44,1970-01-01 01:00:59,41.0,15.0,56.0
1.25,-4.25,1970-01-01 01:00:13,1970-01-01 01:00:37,1970-01-01 01:01:10,24.0,33.0,57.0
0.25,3.75,1970-01-01 01:00:23,1970-01-01 01:02:17,1970-01-01 01:03:24,114.0,67.0,181.0
1.25,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:43,1970-01-01 01:01:30,10.0,47.0,57.0
-1.75,-3.75,1970-01-01 01:00:43,1970-01-01 01:00:50,1970-01-01 01:01:00,7.0,10.0,17.0
2.75,-1.25,1970-01-01 01:00:53,,,,,
0.25,1.75,1970-01-01 01:01:03,1970-01-01 01:02:22,1970-01-01 01:02:43,79.0,21.0,100.0
1.75,-2.75,1970-01-01 01:01:14,,,,,
-0.25,-2.25,1970-01-01 01:01:24,,,,,
2.25,2.25,1970-01-01 01:01:34,1970-01-01 01:02:38,1970-01-01 01:03:04,64.0,26.0,90.0
-2.25,-2.25,1970-01-01 01:01:44,,,,,
-0.75,-3.75,1970-01-01 01:01:54,,,,,
-0.75,0.25,1970-01-01 01:02:04,,,,,
1.75,-1.75,1970-01-01 01:02:14,,,,,
1.75,0.75,1970-01-01 01:02:24,1970-01-01 01:04:04,1970-01-01 01:04:29,100.0,25.0,125.0
-2.25,2.25,1970-01-01 01:02:34,,,,,
-2.75,-4.25,1970-01-01 01:02:44,,,,,
-3.25,0.25,1970-01-01 01:02:54,,,,,
1.25,3.25,1970-01-01 01:03:05,1970-01-01 01:04:34,1970-01-01 01:04:44,89.0,10.0,99.0
-2.75,-2.25,1970-01-01 01:03:15,,,,,
0.75,2.75,1970-01-01 01:03:25,1970-01-01 01:04:05,1970-01-01 01:04:51,40.0,46.0,86.0
-2.75,-0.75,1970-01-01 01:03:35,,,,,
0.25,-3.75,1970-01-01 01:03:45,,,,,
-2.25,1.75,1970-01-01 01:03:55,,,,,
-2.25,-4.25,1970-01-01 01:04:05,,,,,
3.75,-4.25,1970-01-01 01:04:15,,,,,
1.75,-3.75,1970-01-01 01:04:25,,,,,
0.75,0.75,1970-01-01 01:04:36,1970-01-01 01:05:00,,24.0,,
0.75,-0.25,1970-01-01 01:04:46,,,,,
0.25,-0.75,1970-01-01 01:04:56,,,,,
