x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:03:04,,181.0,,
-1.25,-3.75,1970-01-01 01:00:13,,,,,
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:00:43,,,,,
-3.25,3.75,1970-01-01 01:00:53,,,,,
-1.75,-1.25,1970-01-01 01:01:03,,,,,
1.25,3.25,1970-01-01 01:01:13,,,,,
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:03:04,,100.0,,
3.75,3.25,1970-01-01 01:01:34,,,,,
-0.25,-3.75,1970-01-01 01:01:44,,,,,
0.25,-3.25,1970-01-01 01:01:54,1970-01-01 01:02:05,1970-01-01 01:02:30,11.0,25.0,36.0
-1.25,-4.25,1970-01-01 01:02:04,,,,,
0.75,-1.75,1970-01-01 01:02:14,,,,,
1.25,-4.25,1970-01-01 01:02:24,,,,,
3.75,1.25,1970-01-01 01:02:34,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
-3.75,3.25,1970-01-01 01:02:54,,,,,
1.25,0.75,1970-01-01 01:03:04,,,,,
