x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.75,-3.75,1970-01-01 01:00:02,1970-01-01 01:00:44,1970-01-01 01:00:58,42.0,14.0,56.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:37,1970-01-01 01:01:10,25.0,33.0,58.0
0.25,3.75,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:43,1970-01-01 01:01:14,11.0,31.0,42.0
-1.75,-3.75,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,1.75,1970-01-01 01:01:02,,,,,
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-2.25,1970-01-01 01:01:22,,,,,
2.25,2.25,1970-01-01 01:01:33,,,,,
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:48,1970-01-01 01:02:21,5.0,33.0,38.0
-0.75,-3.75,1970-01-01 01:01:53,,,,,
-0.75,0.25,1970-01-01 01:02:03,,,,,
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:02:51,6.0,22.0,28.0
-2.25,2.25,1970-01-01 01:02:33,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,0.25,1970-01-01 01:02:53,1970-01-01 01:03:14,,21.0,,
1.25,3.25,1970-01-01 01:03:03,,,,,
-2.75,-2.25,1970-01-01 01:03:13,,,,,
