x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:29,1970-01-01 01:00:59,0:00:17,0:00:30,0:00:47
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:01:31,1970-01-01 01:02:13,0:00:59,0:00:42,0:01:41
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:01:26,1970-01-01 01:02:27,0:00:44,0:01:01,0:01:45
1.25,2.25,1970-01-01 01:00:52,1970-01-01 01:01:29,1970-01-01 01:01:54,0:00:37,0:00:25,0:01:02
-0.25,-3.25,1970-01-01 01:02:33,,,,,
0.75,0.75,1970-01-01 01:01:13,,,,,
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,,,,,
2.25,0.75,1970-01-01 01:02:13,,,,,
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:40,1970-01-01 01:03:02,0:00:17,0:00:22,0:00:39
-0.25,-3.25,1970-01-01 01:02:33,,,,,
-1.25,4.25,1970-01-01 01:02:43,,,,,
-2.25,-2.25,1970-01-01 01:02:53,,,,,
1.25,-0.25,1970-01-01 01:03:03,,,,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:03,1970-01-01 01:01:44,0:00:01,0:01:41,0:01:42
1.25,-4.25,1970-01-01 01:00:12,,,,,
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:34,1970-01-01 01:00:56,0:00:02,0:00:22,0:00:24
-1.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:54,1970-01-01 01:01:19,0:00:12,0:00:25,0:00:37
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:02:02,1970-01-01 01:02:31,0:01:00,0:00:29,0:01:29
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-1.25,1970-01-01 01:01:22,1970-01-01 01:01:33,1970-01-01 01:01:56,0:00:11,0:00:23,0:00:34
2.25,2.75,1970-01-01 01:01:32,,,,,
-2.25,-2.25,1970-01-01 01:01:42,1970-01-01 01:02:43,1970-01-01 01:03:01,0:01:01,0:00:18,0:01:19
