x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:18,1970-01-01 01:00:57,0:00:16,0:00:39,0:00:55
-1.25,-3.75,1970-01-01 01:00:12,1970-01-01 01:00:25,1970-01-01 01:00:46,0:00:13,0:00:21,0:00:34
-2.25,2.25,1970-01-01 01:00:22,,,,,
-1.75,0.75,1970-01-01 01:00:32,1970-01-01 01:00:37,1970-01-01 01:00:58,0:00:05,0:00:21,0:00:26
-0.75,-4.25,1970-01-01 01:00:42,1970-01-01 01:03:18,,0:02:36,,
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:00:53,1970-01-01 01:01:19,0:00:01,0:00:26,0:00:27
-1.75,-1.25,1970-01-01 01:01:02,1970-01-01 01:03:02,1970-01-01 01:03:27,0:02:00,0:00:25,0:02:25
-3.25,2.75,1970-01-01 01:01:23,,,,,
3.75,3.25,1970-01-01 01:01:33,1970-01-01 01:02:33,1970-01-01 01:02:40,0:01:00,0:00:07,0:01:07
-0.25,-3.75,1970-01-01 01:02:23,,,,,
0.25,-3.25,1970-01-01 01:01:53,1970-01-01 01:02:00,1970-01-01 01:02:15,0:00:07,0:00:15,0:00:22
-1.25,-4.25,1970-01-01 01:02:03,,,,,
0.75,-1.75,1970-01-01 01:02:13,,,,,
-0.25,-3.75,1970-01-01 01:02:23,,,,,
1.75,1.75,1970-01-01 01:02:33,1970-01-01 01:02:56,,0:00:23,,
-2.25,-1.75,1970-01-01 01:02:53,1970-01-01 01:02:56,1970-01-01 01:03:14,0:00:03,0:00:18,0:00:21
0.25,-1.25,1970-01-01 01:03:04,,,,,
-2.75,-2.25,1970-01-01 01:03:14,,,,,
1.75,-4.25,1970-01-01 01:03:24,,,,,
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:30,1970-01-01 01:01:03,0:00:28,0:00:33,0:01:01
